maxInf; numberOfFirstColumns; columnsPerIteration; infCut; time; loadTime; populateTime; firstColumnsTime; iteration; solvingTime; solutionValue; averageInversedWeights; minInversedWeight; maxInversedWeight; averageTreeSize; minTreeSize; maxTreeSize; percentage; numberOfPeople;
50; 400; 10; 0.1; 371813; 65341; 86250; 131200; 6; 5270; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 800; 10; 0.1; 373408; 65637; 135001; 142611; 1; 6897; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 800; 10; 0.1; 470555; 65637; 135001; 142611; 2; 81503; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 800; 10; 0.1; 491296; 65637; 135001; 142611; 3; 7107; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 800; 10; 0.1; 516874; 65637; 135001; 142611; 4; 17856; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 800; 10; 0.1; 531144; 65637; 135001; 142611; 5; 5929; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 800; 10; 0.1; 539488; 65637; 135001; 142611; 6; 5582; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
15; 5000; 2; 0.001; 1134889; 69411; 13147; 894964; 1; 40416; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 5000; 2; 0.001; 1260243; 69411; 13147; 894964; 2; 102847; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 5000; 2; 0.001; 1393255; 69411; 13147; 894964; 3; 88692; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 5000; 2; 0.001; 1514761; 69411; 13147; 894964; 4; 92003; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 5000; 2; 0.001; 1704696; 69411; 13147; 894964; 5; 92255; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 5000; 2; 0.001; 1870636; 69411; 13147; 894964; 6; 93739; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 5000; 2; 0.001; 2096863; 69411; 13147; 894964; 7; 91942; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 5000; 2; 0.001; 2333029; 69411; 13147; 894964; 8; 91922; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 5000; 2; 0.001; 2494639; 69411; 13147; 894964; 9; 91924; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 500; 2; 4e-005; 770764; 77331; 13179; 470030; 1; 46239; 2138.12; 86.1371; 67.5409; 130.727; 266284; 99999; 331533; 66.133; 654909; 
15; 500; 2; 4e-005; 1256107; 77331; 13179; 470030; 2; 103887; 2138.12; 86.1371; 67.5409; 130.727; 266284; 99999; 331533; 66.133; 654909; 
15; 500; 2; 4e-005; 1462654; 77331; 13179; 470030; 3; 73068; 2138.12; 86.1371; 67.5409; 130.727; 266284; 99999; 331533; 66.133; 654909; 
